"id","sku_name","base_price","cogs","category"
P217083,Haier_HRF-382,2945700.0,2503800.0,Appliances
P825073,Orient_50G6520,2924070.0,1783670.0,Entertainment
P176485,Kenwood_KDC-1213,2911600.0,2038120.0,Appliances
P720522,Gmart_Forerunner735XT 3,2900000.0,1740000.0,Health & Sports
P355452,MotoZPlay-White ,2899940.0,2377940.0,Mobiles & Tablets
P421755,MotoZPlay -Black,2899940.0,2319940.0,Mobiles & Tablets
P533917,HBW_1513072,2899940.0,2609940.0,Men Fashion
P880316,AYS_A-C -8-LNA,2899940.0,2174940.0,Appliances
P296243,oppo_f3-plus-Gold,2894140.0,1910110.0,Mobiles & Tablets
P253922,GC_GCS046,2871000.0,2124540.0,Superstore
P952872,HP_15AY-15-Ay189NIA-ci5,2869840.0,2554150.0,Computing
P506029,Dell_DELL 5559-I5,2869840.0,1750560.0,Computing
P353796,viewsonic_PJD5134,2865200.0,2292160.0,Entertainment
P746317,plk_FWI/ 961 284_44,2860560.0,2174010.0,Men Fashion
P182780,HAIER_HSU-12HNH,2851280.0,2195470.0,Appliances
P746103,MORG_GCS 41,2842000.0,2159920.0,Health & Sports
P180847,orient_13af4 1ton-CS,2841940.0,2301960.0,Appliances
P457899,Samsung Galaxy Note 3 N9000,2841940.0,2017760.0,Mobiles & Tablets
P184758,interwood_HA-R-QRION-39998,2837360.0,2099600.0,Home & Living
P618516,Dawlance 91996 HZ H-Zone Plus 18 cu ft Refrigerator,2818800.0,1916780.0,Appliances
P522597,orient_OS-19 MF16 PG-R410a-CS,2813000.0,2362920.0,Appliances
P241542,Samsung_40K5000,2809520.0,1854260.0,Entertainment
P298813,Haier_HRF-342,2784350.0,2143910.0,Appliances
P640140,FHM_DEEP RUST,2784000.0,2171520.0,Home & Living
P333900,HP_i3-7100U,2784000.0,1698240.0,Computing
P611114,Samsung_Samsung 40 Inch J5000 Full HD LED TV,2783940.0,2338500.0,Entertainment
P805257,tisot_wtch_13,2778200.0,1694700.0,Men Fashion
P571622,Dawlance_Inspire-Plus-Inverter-15-Champagne,2774840.0,2414080.0,Appliances
P992760,R&I_Split AC - Crystal Series 18000BTU,2720200.0,2284970.0,Appliances
P502182,Haier_HSU-18LK-E10BL-White,2714400.0,2035800.0,Appliances
P545027,RUBD_HSU-18 LTE 1.5 Ton AC,2710050.0,1761520.0,Appliances
P934032,Haier_HSU-18LKE,2700250.0,2025190.0,Appliances
P849301,mitsubhisi_1.0 Ton - SRK-13CMK-CS,2697000.0,2373360.0,Appliances
P491862,SharpLC40LE185M,2669740.0,2109050.0,Entertainment
P809020,AYS_Split-Haier-18LNF,2668000.0,2267800.0,Appliances
P191421,dwm_Masculine K2H27126 ,2650600.0,1775900.0,Men Fashion
P473371,RM_Sony-DSC-HX400,2633200.0,1711580.0,Entertainment
P787423,Lenovo_v310-310-ci5,2627980.0,1708160.0,Computing
P987392,mitsubhisi_1.0 Ton - SRK-13CMK,2622470.0,2229060.0,Appliances
P173908,UNEL_Kenwood eInspire  1.5Ton,2618700.0,1597380.0,Appliances
P549363,Kenwood_KLV-1815,2610000.0,2218500.0,Appliances
P713012,sony_SLT-A58K,2610000.0,2140200.0,Entertainment
P399251,Naushemian_#0027-Blue-L,2610000.0,2088000.0,Women Fashion
P905672,Naushemian_#0027-Blue-M,2610000.0,2296800.0,Women Fashion
P343951,palwasha_SKU027,2610000.0,1722600.0,Women Fashion
P205822,HP_ 15-AC107TU _clear,2609360.0,2139620.0,Computing
P177109,Changhong Ruba 40 Inches D4000i Smart LED,2604200.0,1562520.0,Entertainment
P614218,AZD_HSU-12-HNB-DC-INVERTER-1-TON,2594630.0,1971880.0,Appliances
P131987,haier_HSU-18LK-E8,2591440.0,1580730.0,Appliances
P316948,Haier_HSU-18LK-E10BL,2591440.0,2176800.0,Appliances
P491161,Haier_HSU-12-HNF,2588250.0,1734080.0,Appliances
P423681,hop_ANKM030,2552000.0,1582240.0,Beauty & Grooming
P160695,Surmawala_Haier-HSU-12HN-Air-Conditioner-White,2551940.0,1888420.0,Appliances
P387024,gree_12LM4,2544980.0,1628760.0,Appliances
P663397,kenwood_KEA1801,2534600.0,1774220.0,Appliances
P747667,R&I_Generator 3.0KVA,2529960.0,2074540.0,Appliances
P350026,gree_12CZ8,2529960.0,2049260.0,Appliances
P715572,plk_PD/ 991 471_65,2518360.0,1561360.0,Men Fashion
P499864,Surmawala_PEL-PRA-160-Refrigerator-Silver,2509080.0,1906870.0,Appliances
P725301,FHM_LUCID COMFORT1,2505600.0,1578530.0,Home & Living
P858730,Lenovo_80UD00DLAK,2496900.0,2122340.0,Computing
P213157,Xpert_XGEO.70.1B,2494000.0,2045080.0,Appliances
P925502,hyundai_HGS2500 ,2493940.0,2194660.0,Appliances
P738893,interwood_HF-01CR1-HW-12021,2490980.0,1494540.0,Home & Living
P505335,Ricoh_Black Laser SP-4510DN,2485360.0,2236770.0,Computing
P240605,lenovo_80J2021CUE,2479790.0,2083010.0,Computing
P861342,Haier_1.5 Ton Split Air Conditioner - HSU-18LKE,2465000.0,2193850.0,Appliances
P918122,lenovo_80HR00AKUE,2456010.0,2063000.0,Computing
P486103,dawlance_VF-1035WB,2455720.0,1915450.0,Appliances
P228611,GMZV_Black-4-1TB-Horizon-Zero-Dawn-Bundle,2441800.0,1684840.0,Entertainment
P137838,Naushemian_#0031-Orange -L,2436000.0,1948800.0,Women Fashion
P442844,Naushemian_#0031-Orange -M,2436000.0,2168040.0,Women Fashion
P693509,dawlance_VF-1035WB Silver,2412800.0,2123260.0,Appliances
P168663,interwood_HA-R-REO-39997,2403520.0,1490140.0,Home & Living
P301216,interwood_HA-R-AGRA-39999,2403520.0,1922820.0,Home & Living
P236487,Samsung_Samsung NX300 Mirrorless - Brown,2401200.0,2041020.0,Entertainment
P451592,Sony_PlayStation 4 1TB - Call of Duty Black Ops 3 Version Limite,2380900.0,1547560.0,Entertainment
